"source" "target" "weight" "type"
attornei corpor 0.0595 undirected
attornei speed 0.0723 undirected
attornei ship 0.4201 undirected
attornei occup 0.0834 undirected
attornei medicar 0.0294 undirected
attornei rank 0.0048 undirected
attornei util 0.1763 undirected
attornei sale 0.0062 undirected
attornei administr 0.1449 undirected
attornei mortgag 0.1843 undirected
attornei insur 0.0285 undirected
attornei militari 0.0057 undirected
attornei ident 0.0351 undirected
attornei employ 0.0287 undirected
attornei student 0.0805 undirected
balanc establish 0.0028 undirected
balanc profil 0.0052 undirected
balanc public 0.0986 undirected
balanc qualifi 0.0238 undirected
balanc vendor 0.0001 undirected
balanc assign 0.0568 undirected
balanc transact 0.0171 undirected
balanc degre 0.0006 undirected
balanc flag 0.2192 undirected
balanc measur 0.0108 undirected
balanc compromis 0.0478 undirected
balanc system 0.0034 undirected
balanc visa 0.1483 undirected
balanc medic 0.0174 undirected
balanc digit 0.0868 undirected
balanc histori 0.0563 undirected
balanc score 0.4664 undirected
balanc agenc 0.1393 undirected
balanc design 0.0008 undirected
balanc level 0.1331 undirected
balanc mother 0.0063 undirected
balanc seri 0.3603 undirected
balanc ssn 0.1830 undirected
balanc tax 0.0811 undirected
balanc busi 0.0278 undirected
balanc corpor 0.0464 undirected
balanc speed 0.0313 undirected
balanc account 0.0629 undirected
balanc ship 0.0176 undirected
balanc email 0.0124 undirected
balanc refund 0.1157 undirected
balanc network 0.0756 undirected
balanc institut 0.0882 undirected
balanc equifax 0.2662 undirected
balanc insur 0.0461 undirected
balanc twitter 0.0007 undirected
balanc bureau 0.5801 undirected
balanc sourc 0.0234 undirected
balanc militari 0.0168 undirected
balanc credit 0.2749 undirected
balanc employ 0.5559 undirected
bank twitter 0.0451 undirected
bank sourc 0.1310 undirected
bank credit 0.0654 undirected
bank password 0.0722 undirected
bill photo 0.0000 undirected
bill vendor 0.0119 undirected
bill assist 0.0843 undirected
bill publish 0.1202 undirected
bill ipad 0.1190 undirected
bill ticket 0.1041 undirected
bill identifi 0.0138 undirected
bill measur 0.2807 undirected
bill health 0.0742 undirected
bill debit 0.0026 undirected
bill medic 0.0211 undirected
bill histori 0.0191 undirected
bill set 0.0689 undirected
bill passport 0.0303 undirected
bill score 0.0083 undirected
bill applic 0.0498 undirected
bill design 0.0798 undirected
bill colleg 0.0990 undirected
bill mother 0.3118 undirected
bill seri 0.0057 undirected
bill name 0.1185 undirected
bill depend 0.0919 undirected
bill pai 0.1241 undirected
bill busi 0.0213 undirected
bill store 0.0375 undirected
bill secur 0.2717 undirected
bill account 0.0357 undirected
bill ship 0.1017 undirected
bill shop 0.0231 undirected
bill rank 0.0041 undirected
bill social 0.1222 undirected
bill administr 0.1238 undirected
bill registr 0.0109 undirected
bill equifax 0.1164 undirected
bill bureau 0.1805 undirected
bill person 0.0632 undirected
bill comput 0.0688 undirected
bill ident 0.1719 undirected
bill credit 0.1814 undirected
bill employ 0.0031 undirected
bill student 0.1244 undirected
birth certif 0.4852 undirected
birth passport 0.8599 undirected
birth applic 0.1005 undirected
birth mother 0.0058 undirected
birth name 0.5500 undirected
birth children 0.0246 undirected
birth user 0.1110 undirected
birth secur 0.3761 undirected
birth account 0.0016 undirected
birth locat 0.0654 undirected
birth occup 0.0104 undirected
birth medicar 0.0045 undirected
birth social 0.3808 undirected
birth photograph 0.1127 undirected
birth administr 0.1599 undirected
birth insur 0.0487 undirected
birth ident 0.0383 undirected
birth employ 0.1024 undirected
board id 0.0254 undirected
board loan 0.0154 undirected
board school 0.0845 undirected
board ebai 0.0913 undirected
board term 0.0874 undirected
board residenti 0.0054 undirected
board male 0.0242 undirected
board address 0.0183 undirected
board statu 0.0515 undirected
board price 0.0109 undirected
board prescript 0.0084 undirected
board telephon 0.7573 undirected
board balanc 0.0054 undirected
board public 0.3384 undirected
board linkedin 0.0035 undirected
board street 0.0245 undirected
board attornei 0.1244 undirected
board countri 0.1100 undirected
board health 0.0211 undirected
board system 0.2769 undirected
board femal 0.0324 undirected
board birth 0.0032 undirected
board digit 0.0032 undirected
board set 0.1066 undirected
board certif 0.0948 undirected
board agenc 0.0026 undirected
board design 0.0145 undirected
board colleg 0.3342 undirected
board ssn 0.0447 undirected
board busi 0.0072 undirected
board store 0.0126 undirected
board speed 0.0494 undirected
board locat 0.0017 undirected
board shop 0.0237 undirected
board rank 0.3675 undirected
board util 0.5533 undirected
board email 0.0315 undirected
board samsung 0.0015 undirected
board administr 0.0899 undirected
board uniqu 0.1255 undirected
board bureau 0.0777 undirected
board internet 0.0097 undirected
board ident 0.0425 undirected
board student 0.0148 undirected
bureau sourc 0.0720 undirected
bureau credit 0.5919 undirected
bureau employ 0.6372 undirected
bureau student 0.0104 undirected
busi store 0.0094 undirected
busi secur 0.0233 undirected
busi account 0.0431 undirected
busi locat 0.0173 undirected
busi devic 0.0715 undirected
busi social 0.1276 undirected
busi util 0.0321 undirected
busi refund 0.1970 undirected
busi sale 0.0688 undirected
busi network 0.0828 undirected
busi servic 0.0197 undirected
busi institut 0.2408 undirected
busi bank 0.0749 undirected
busi person 0.0266 undirected
busi ident 0.0400 undirected
busi employ 0.0259 undirected
card check 0.0281 undirected
card custom 0.3458 undirected
card stop 0.0306 undirected
card type 0.0133 undirected
card owner 0.0907 undirected
card signatur 0.0844 undirected
card travel 0.0714 undirected
card ey 0.0523 undirected
card wallet 0.1519 undirected
card memori 0.0006 undirected
card purchas 0.0893 undirected
card st 0.0738 undirected
card oper 0.0822 undirected
card attach 0.1768 undirected
card ebai 0.0333 undirected
card secret 0.2920 undirected
card mail 0.0118 undirected
card middl 0.0942 undirected
card address 0.0343 undirected
