"source" "target" "weight" "type"
"american" "controls" 0.0850 "undirected"
"american" "tablet" 0.0406 "undirected"
"american" "travel" 0.5869 "undirected"
"american" "eye" 0.1677 "undirected"
"american" "color" 0.4014 "undirected"
"american" "age" 0.1247 "undirected"
"american" "boarding" 0.0588 "undirected"
"american" "schools" 0.0877 "undirected"
"american" "ebay" 0.4481 "undirected"
"american" "term" 0.0986 "undirected"
"american" "adult" 0.1134 "undirected"
"american" "web" 0.0544 "undirected"
"american" "online" 0.1375 "undirected"
"american" "prescription" 0.0626 "undirected"
"american" "photo" 0.0506 "undirected"
"american" "country" 0.1730 "undirected"
"american" "health" 0.0067 "undirected"
"american" "express" 0.0732 "undirected"
"american" "system" 0.1928 "undirected"
"american" "visa" 0.1855 "undirected"
"american" "female" 0.2075 "undirected"
"american" "media" 0.1495 "undirected"
"american" "digits" 0.0784 "undirected"
"american" "passport" 0.0337 "undirected"
"american" "level" 0.0252 "undirected"
"american" "mothers" 0.0137 "undirected"
"american" "series" 0.0132 "undirected"
"american" "sign" 0.0555 "undirected"
"american" "proof" 0.2935 "undirected"
"american" "site" 0.0300 "undirected"
"american" "children" 0.1308 "undirected"
"american" "speed" 0.0097 "undirected"
"american" "locator" 0.0590 "undirected"
"american" "parents" 0.1061 "undirected"
"american" "administrator" 0.0255 "undirected"
"american" "unique" 0.0275 "undirected"
"american" "mortgage" 0.3703 "undirected"
"american" "bureau" 0.0697 "undirected"
"american" "student" 0.0308 "undirected"
"android" "twitter" 0.0073 "undirected"
"android" "personal" 0.1855 "undirected"
"android" "computers" 0.3013 "undirected"
"android" "internet" 0.3279 "undirected"
"android" "passwords" 0.0137 "undirected"
"apple" "transunion" 0.2143 "undirected"
"apple" "display" 0.0698 "undirected"
"apple" "number" 0.0347 "undirected"
"apple" "web" 0.0636 "undirected"
"apple" "code" 0.1106 "undirected"
"apple" "bill" 0.1210 "undirected"
"apple" "qualifier" 0.0708 "undirected"
"apple" "publish" 0.0500 "undirected"
"apple" "linkedin" 0.0038 "undirected"
"apple" "ipad" 0.9541 "undirected"
"apple" "flag" 0.1826 "undirected"
"apple" "identifier" 0.0000 "undirected"
"apple" "express" 0.4159 "undirected"
"apple" "system" 0.0062 "undirected"
"apple" "digits" 0.1648 "undirected"
"apple" "history" 0.0442 "undirected"
"apple" "settings" 0.0247 "undirected"
"apple" "application" 0.1389 "undirected"
"apple" "design" 0.8112 "undirected"
"apple" "name" 0.0232 "undirected"
"apple" "corporation" 0.0032 "undirected"
"apple" "user" 0.1026 "undirected"
"apple" "store" 0.3084 "undirected"
"apple" "secure" 0.0227 "undirected"
"apple" "device" 0.0012 "undirected"
"apple" "ship" 0.1882 "undirected"
"apple" "rank" 0.0201 "undirected"
"apple" "social" 0.0197 "undirected"
"apple" "samsung" 0.1370 "undirected"
"apple" "sales" 0.0447 "undirected"
"apple" "administrator" 0.1085 "undirected"
"apple" "android" 0.1287 "undirected"
"apple" "equifax" 0.2143 "undirected"
"apple" "personal" 0.0009 "undirected"
"apple" "computers" 0.8489 "undirected"
"apple" "internet" 0.1456 "undirected"
"apple" "credit" 0.1020 "undirected"
"application" "design" 0.1045 "undirected"
"application" "name" 0.3081 "undirected"
"application" "store" 0.0357 "undirected"
"application" "secure" 0.0600 "undirected"
"application" "ship" 0.0572 "undirected"
"application" "shopping" 0.0090 "undirected"
"application" "social" 0.0513 "undirected"
"application" "rating" 0.0011 "undirected"
"application" "administrator" 0.0252 "undirected"
"application" "android" 0.0025 "undirected"
"application" "equifax" 0.0140 "undirected"
"application" "banking" 0.3019 "undirected"
"application" "computers" 0.3379 "undirected"
"application" "identity" 0.0154 "undirected"
"application" "credit" 0.0452 "undirected"
"assigned" "attorney" 0.1158 "undirected"
"assigned" "degree" 0.0099 "undirected"
"assigned" "flag" 0.0905 "undirected"
"assigned" "country" 0.0611 "undirected"
"assigned" "identifier" 0.2700 "undirected"
"assigned" "female" 0.0574 "undirected"
"assigned" "birth" 0.0059 "undirected"
"assigned" "certification" 0.0993 "undirected"
"assigned" "agency" 0.0555 "undirected"
"assigned" "level" 0.0502 "undirected"
"assigned" "mothers" 0.0889 "undirected"
"assigned" "series" 0.0767 "undirected"
"assigned" "ssn" 0.0904 "undirected"
"assigned" "tax" 0.1351 "undirected"
"assigned" "sign" 0.1145 "undirected"
"assigned" "pay" 0.0432 "undirected"
"assigned" "proof" 0.0591 "undirected"
"assigned" "speed" 0.3584 "undirected"
"assigned" "ship" 0.2945 "undirected"
"assigned" "shopping" 0.0067 "undirected"
"assigned" "medicare" 0.1309 "undirected"
"assigned" "rank" 0.0317 "undirected"
"assigned" "website" 0.0037 "undirected"
"assigned" "email" 0.0061 "undirected"
"assigned" "refund" 0.1631 "undirected"
"assigned" "administrator" 0.0096 "undirected"
"assigned" "registration" 0.0218 "undirected"
"assigned" "military" 0.0464 "undirected"
"assigned" "identity" 0.1265 "undirected"
"assistance" "degree" 0.0023 "undirected"
"assistance" "connection" 0.0196 "undirected"
"assistance" "design" 0.2255 "undirected"
"assistance" "tax" 0.0055 "undirected"
"assistance" "sign" 0.0882 "undirected"
"assistance" "dependants" 0.0260 "undirected"
"assistance" "secure" 0.1519 "undirected"
"assistance" "accounts" 0.0087 "undirected"
"assistance" "occupations" 0.0152 "undirected"
"assistance" "service" 0.0165 "undirected"
"assistance" "banking" 0.0094 "undirected"
"assistance" "military" 0.0372 "undirected"
"assistance" "identity" 0.0242 "undirected"
"assistance" "credit" 0.0127 "undirected"
"attached" "transunion" 0.1243 "undirected"
"attached" "display" 0.0340 "undirected"
"attached" "mail" 0.0133 "undirected"
